,available,price,minimum_nights,maximum_nights,room_type,accomodates,bedrooms,beds,total_reviews,days_since_review,comment_length,days_since_joined,host_location_country,property_type_kind,no_of_bath,type_of_bath,number_of_amneties
1121,1.0,89.0,1.0,13.0,Entire home/apt,12.0,2.0,7.0,47.0,235.2978723404256,181.9787234042553,857,Belgium,Entire,1.5,Private,28
1122,1.0,65.66666666666667,1.0,21.0,Entire home/apt,12.0,1.0,4.0,13.0,226.92307692307693,126.07692307692308,857,Belgium,Entire,1.5,Private,38
1123,1.0,95.66666666666669,1.0,13.0,Entire home/apt,6.0,2.0,3.0,5.0,282.8,58.4,857,Belgium,Entire,1.5,Private,31
1124,1.0,95.66666666666669,1.0,13.0,Entire home/apt,12.0,2.0,5.0,20.0,212.4,205.0,857,Belgium,Entire,1.5,Private,35
1125,1.0,79.0,1.0,13.0,Entire home/apt,12.0,2.0,5.0,5.0,267.0,264.4,857,Belgium,Entire,1.5,Private,37
1126,1.0,900.0,1.0,1125.0,Entire home/apt,16.0,3.0,5.0,0.0,2720.1323529411766,0.0,857,Belgium,Entire,3.0,Private,39
1127,1.0,82.33333333333333,1.0,13.0,Entire home/apt,12.0,2.0,5.0,12.0,220.16666666666663,97.41666666666669,857,Belgium,Entire,2.0,Private,39
1128,1.0,95.66666666666669,1.0,13.0,Entire home/apt,12.0,2.0,4.0,3.0,264.0,583.6666666666666,857,Belgium,Entire,2.5,Private,42
1129,1.0,72.33333333333333,1.0,21.0,Entire home/apt,8.0,1.0,2.0,5.0,259.8,102.6,857,Belgium,Entire,1.5,Private,36
1130,1.0,112.33333333333331,1.0,21.0,Entire home/apt,8.0,1.0,4.0,6.0,232.8333333333333,55.333333333333336,857,Belgium,Entire,1.5,Private,37
1131,1.0,82.33333333333333,1.0,21.0,Entire home/apt,8.0,1.0,4.0,24.0,193.2083333333333,119.04166666666669,857,Belgium,Entire,1.5,Private,34
1132,1.0,72.33333333333333,1.0,21.0,Entire home/apt,8.0,1.0,4.0,7.0,196.0,102.14285714285714,857,Belgium,Entire,1.5,Private,35
1133,1.0,89.0,1.0,13.0,Entire home/apt,12.0,3.0,8.0,6.0,206.66666666666663,390.5,857,Belgium,Entire,1.5,Private,38
